category_list,main_sector
adaptive equipment,Manufacturing
biotechnology and semiconductor,Cleantech...Semiconductors
cause marketing,News..Search.and.Messaging
darknet,News..Search.and.Messaging
deep information technology,Cleantech...Semiconductors
english-speaking,Entertainment
enterprise hardware,Manufacturing
experience design,Manufacturing
generation y-z,Entertainment
golf equipment,Automotive...Sports
google glass,Cleantech...Semiconductors
greentech,Cleantech...Semiconductors
group email,Cleantech...Semiconductors
infrastructure builders,Others
internet technology,Cleantech...Semiconductors
internet tv,Cleantech...Semiconductors
kinect,Others
lingerie,Others
mobile emergency&health,Health
natural gas uses,Health
nightlife,Entertainment
product search,News..Search.and.Messaging
psychology,Health
racing,Automotive...Sports
rapidly expanding,Others
real estate investors,Others
registrars,Others
retirement,Social..Finance..Analytics..Advertising
self development,Social..Finance..Analytics..Advertising
sex industry,Entertainment
skill gaming,Automotive...Sports
social media advertising,Social..Finance..Analytics..Advertising
spas,Social..Finance..Analytics..Advertising
specialty retail,Social..Finance..Analytics..Advertising
sponsorship,Social..Finance..Analytics..Advertising
subscription businesses,Others
swimming,Automotive...Sports
testing,Others
toys,Automotive...Sports
tutoring,Others
vacation rentals,Others
